edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('chrisgaskill', 'chrisgermany')",0.0,0.0,10,0.0,0,4,5,2,11,4,0.1,0.0,1
"('tklohman', 'lindydonoho')",0.0,0.0,4,0.0,0,4,2,2,2,3,1.0,0.0,1
"('tklohman', 'kevinhyatt')",0.0,0.0,6,0.0,0,5,2,3,2,9,1.0,0.0,1
"('tklohman', 'michellelokay')",0.9102392266268373,0.3333333333333333,4,0.3333333333333333,1,2,2,2,2,12,1.0,0.0,1
"('rickbuy', 'marieheard')",0.0,0.0,24,0.0,0,3,3,8,99,46,0.3333333333333333,0.5357142857142857,1
"('rickbuy', 'johnlavorato')",0.6213349345596119,0.07692307692307693,33,0.2,1,2,3,11,99,61,0.3333333333333333,0.2727272727272727,1
"('rickbuy', 'gregwhalley')",0.6213349345596119,0.14285714285714285,15,0.2,1,2,3,5,99,50,0.3333333333333333,0.5,1
"('richardshapiro', 'johnlavorato')",0.45511961331341866,0.058823529411764705,77,0.1111111111111111,1,2,7,11,87,61,0.14285714285714285,0.2727272727272727,1
"('richardshapiro', 'gregwhalley')",0.0,0.0,35,0.0,0,3,7,5,87,50,0.14285714285714285,0.5,1
"('richardshapiro', 'janetdietrich')",0.0,0.0,21,0.0,0,5,7,3,87,9,0.14285714285714285,0.0,1
"('richardshapiro', 'louisekitchen')",0.45511961331341866,0.05263157894736842,91,0.1111111111111111,1,2,7,13,87,116,0.14285714285714285,0.21794871794871795,1
"('stevenharris', 'lindydonoho')",1.4426950408889634,0.2,8,0.5,1,2,4,2,15,3,0.0,0.0,1
"('stevenharris', 'jeffdasovich')",0.0,0.0,44,0.0,0,-1,4,11,15,173,0.0,0.14545454545454545,1
"('stevenharris', 'lorrainelindberg')",2.352934267515801,0.4,12,0.8333333333333333,2,2,4,3,15,4,0.0,0.3333333333333333,1
"('lindydonoho', 'tklohman')",0.0,0.0,4,0.0,0,4,2,2,3,2,0.0,1.0,1
"('lindydonoho', 'stevenharris')",1.4426950408889634,0.2,8,0.5,1,2,2,4,3,15,0.0,0.0,1
"('lindydonoho', 'michellelokay')",0.0,0.0,4,0.0,0,3,2,2,3,12,0.0,0.0,1
"('lindydonoho', 'lorrainelindberg')",0.0,0.0,6,0.0,0,4,2,3,3,4,0.0,0.3333333333333333,1
"('suzanneadams', 'elizabethsager')",0.5138983423697507,0.1,18,0.14285714285714285,1,2,2,9,240,72,0.0,0.05555555555555555,1
"('suzanneadams', 'debraperlingiere')",0.5138983423697507,0.16666666666666666,12,0.14285714285714285,1,2,2,6,240,18,0.0,0.16666666666666666,1
"('dutchquigley', 'johngriffith')",0.4170323914242463,0.3333333333333333,4,0.09090909090909091,1,2,2,2,7,3,1.0,1.0,1
"('dutchquigley', 'andyzipper')",0.4170323914242463,0.125,14,0.09090909090909091,1,2,2,7,7,32,1.0,0.3333333333333333,1
"('dutchquigley', 'russelldiamond')",0.0,0.0,10,0.0,0,5,2,5,7,25,1.0,0.4,1
"('paulkaufman', 'elizabethlinnell')",0.5138983423697507,0.5,2,0.14285714285714285,1,2,2,1,40,8,1.0,0.0,1
"('paulkaufman', 'karendenne')",0.930930733793997,0.2857142857142857,14,0.23376623376623376,2,2,2,7,40,77,1.0,0.047619047619047616,1
"('marieheard', 'rickbuy')",0.0,0.0,24,0.0,0,3,8,3,46,99,0.5357142857142857,0.3333333333333333,1
"('marieheard', 'sheilaglover')",0.4170323914242463,0.1,24,0.09090909090909091,1,2,8,3,46,23,0.5357142857142857,0.0,1
"('marieheard', 'laureladams')",1.5271285822344165,0.3333333333333333,32,0.4206349206349206,3,2,8,4,46,25,0.5357142857142857,0.3333333333333333,1
"('marieheard', 'debraperlingiere')",1.179445561110859,0.18181818181818182,48,0.3666666666666667,2,2,8,6,46,18,0.5357142857142857,0.16666666666666666,1
"('johnlavorato', 'rickbuy')",0.6213349345596119,0.07692307692307693,33,0.2,1,2,11,3,61,99,0.2727272727272727,0.3333333333333333,1
"('johnlavorato', 'richardshapiro')",0.45511961331341866,0.058823529411764705,77,0.1111111111111111,1,2,11,7,61,87,0.2727272727272727,0.14285714285714285,1
"('johnlavorato', 'brianredmond')",0.3898712452512801,0.08333333333333333,22,0.07692307692307693,1,2,11,2,61,5,0.2727272727272727,0.0,1
"('johnlavorato', 'jeffdasovich')",0.45511961331341866,0.047619047619047616,121,0.1111111111111111,1,2,11,11,61,173,0.2727272727272727,0.14545454545454545,1
"('kevinhyatt', 'tklohman')",0.0,0.0,6,0.0,0,5,3,2,9,2,0.0,1.0,1
"('kevinhyatt', 'lorrainelindberg')",0.0,0.0,9,0.0,0,5,3,3,9,4,0.0,0.3333333333333333,1
"('brianredmond', 'johnlavorato')",0.3898712452512801,0.08333333333333333,22,0.07692307692307693,1,2,2,11,5,61,0.0,0.2727272727272727,1
"('johnambler', 'elizabethlinnell')",0.0,0.0,2,0.0,0,4,2,1,7,8,0.0,0.0,1
"('jeffdasovich', 'stevenharris')",0.0,0.0,44,0.0,0,-1,11,4,173,15,0.14545454545454545,0.0,1
"('jeffdasovich', 'johnlavorato')",0.45511961331341866,0.047619047619047616,121,0.1111111111111111,1,2,11,11,173,61,0.14545454545454545,0.2727272727272727,1
"('jeffdasovich', 'gregwhalley')",0.0,0.0,55,0.0,0,3,11,5,173,50,0.14545454545454545,0.5,1
"('jeffdasovich', 'sarahnovosel')",0.5138983423697507,0.09090909090909091,11,0.14285714285714285,1,2,11,1,173,9,0.14545454545454545,0.0,1
"('jeffdasovich', 'lisamellencamp')",0.0,0.0,11,0.0,0,5,11,1,173,1,0.14545454545454545,0.0,1
"('jeffdasovich', 'christianyoder')",0.0,0.0,33,0.0,0,4,11,3,173,34,0.14545454545454545,0.6666666666666666,1
"('jeffdasovich', 'janetdietrich')",0.0,0.0,33,0.0,0,5,11,3,173,9,0.14545454545454545,0.0,1
"('jeffdasovich', 'louisekitchen')",0.45511961331341866,0.043478260869565216,143,0.1111111111111111,1,2,11,13,173,116,0.14545454545454545,0.21794871794871795,1
"('juliearmstrong', 'michellelokay')",1.631586747071319,0.6666666666666666,6,0.5833333333333333,2,2,3,2,4,12,0.3333333333333333,0.0,1
"('juliearmstrong', 'audreyrobertson')",0.7213475204444817,0.25,6,0.25,1,2,3,2,4,4,0.3333333333333333,0.0,1
"('juliearmstrong', 'louisekitchen')",0.0,0.0,39,0.0,0,-1,3,13,4,116,0.3333333333333333,0.21794871794871795,1
"('markkoenig', 'kennethlay')",1.9565933832587141,1.0,4,0.6428571428571428,2,2,2,2,12,10,0.0,0.0,1
"('timbelden', 'gregwhalley')",0.4170323914242463,0.07692307692307693,45,0.09090909090909091,1,2,9,5,25,50,0.25,0.5,1
"('brenthendry', 'susanbailey')",1.2510751864276162,0.42857142857142855,21,0.27344877344877344,3,2,3,7,16,21,1.0,0.6190476190476191,1
"('barrytycholiz', 'mikegrigsby')",0.0,0.0,4,0.0,0,4,2,2,11,2,0.0,0.0,1
"('barrytycholiz', 'louisekitchen')",0.0,0.0,26,0.0,0,3,2,13,11,116,0.0,0.21794871794871795,1
"('edwardsacks', 'debraperlingiere')",0.5138983423697507,0.1,36,0.14285714285714285,1,2,6,6,16,18,0.4,0.16666666666666666,1
"('gregwhalley', 'rickbuy')",0.6213349345596119,0.14285714285714285,15,0.2,1,2,5,3,50,99,0.5,0.3333333333333333,1
"('gregwhalley', 'richardshapiro')",0.0,0.0,35,0.0,0,3,5,7,50,87,0.5,0.14285714285714285,1
"('gregwhalley', 'jeffdasovich')",0.0,0.0,55,0.0,0,3,5,11,50,173,0.5,0.14545454545454545,1
"('gregwhalley', 'timbelden')",0.4170323914242463,0.07692307692307693,45,0.09090909090909091,1,2,5,9,50,25,0.5,0.25,1
"('michellelokay', 'tklohman')",0.9102392266268373,0.3333333333333333,4,0.3333333333333333,1,2,2,2,12,2,0.0,1.0,1
"('michellelokay', 'lindydonoho')",0.0,0.0,4,0.0,0,3,2,2,12,3,0.0,0.0,1
"('michellelokay', 'juliearmstrong')",1.631586747071319,0.6666666666666666,6,0.5833333333333333,2,2,2,3,12,4,0.0,0.3333333333333333,1
"('michellelokay', 'audreyrobertson')",0.7213475204444817,0.3333333333333333,4,0.25,1,2,2,2,12,4,0.0,0.0,1
"('johngriffith', 'dutchquigley')",0.4170323914242463,0.3333333333333333,4,0.09090909090909091,1,2,2,2,3,7,1.0,1.0,1
"('sarahnovosel', 'jeffdasovich')",0.5138983423697507,0.09090909090909091,11,0.14285714285714285,1,2,1,11,9,173,0.0,0.14545454545454545,1
"('andyzipper', 'dutchquigley')",0.4170323914242463,0.125,14,0.09090909090909091,1,2,7,2,32,7,0.3333333333333333,1.0,1
"('davidforster', 'johnarnold')",0.5138983423697507,0.08333333333333333,22,0.14285714285714285,1,2,2,11,15,24,0.0,0.10909090909090909,1
