edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('sheilatweed', 'suzanneadams')",0.45511961331341866,0.3333333333333333,3,0.1111111111111111,1,2,3,1,35,42,0.0,0.0,1
"('sheilatweed', 'elizabethsager')",1.365358839940256,0.14285714285714285,39,0.4444444444444444,2,2,3,13,35,78,0.0,0.08974358974358974,1
"('rickbuy', 'chrisabel')",0.0,0.0,6,0.0,0,5,6,1,29,4,0.13333333333333333,0.0,1
"('rickbuy', 'johnlavorato')",0.0,0.0,66,0.0,0,3,6,11,29,42,0.13333333333333333,0.14545454545454545,1
"('rickbuy', 'edwardsacks')",0.0,0.0,42,0.0,0,4,6,7,29,67,0.13333333333333333,0.23809523809523808,1
"('rickbuy', 'gregwhalley')",1.179445561110859,0.18181818181818182,42,0.3666666666666667,2,2,6,7,29,17,0.13333333333333333,0.38095238095238093,1
"('richardshapiro', 'rosaleefleming')",0.3789231816899512,0.1,18,0.07142857142857142,1,2,9,2,224,20,0.3611111111111111,0.0,1
"('richardshapiro', 'elizabethlinnell')",0.0,0.0,9,0.0,0,4,9,1,224,2,0.3611111111111111,0.0,1
"('chrisabel', 'rickbuy')",0.0,0.0,6,0.0,0,5,1,6,4,29,0.0,0.13333333333333333,1
"('chrisabel', 'johnlavorato')",0.48089834696298783,0.09090909090909091,11,0.125,1,2,1,11,4,42,0.0,0.14545454545454545,1
"('chrisabel', 'louisekitchen')",0.0,0.0,13,0.0,0,3,1,13,4,80,0.0,0.1794871794871795,1
"('chrisabel', 'kamkeiser')",0.0,0.0,3,0.0,0,5,1,3,4,13,0.0,0.0,1
"('keithholst', 'mikegrigsby')",0.9947966893327386,0.2857142857142857,14,0.26785714285714285,2,2,2,7,16,59,1.0,0.14285714285714285,1
"('info', 'errolmclaughlin')",0.0,0.0,2,0.0,0,6,1,2,3,19,0.0,0.0,1
"('info', 'geraldnemec')",0.0,0.0,5,0.0,0,4,1,5,3,88,0.0,0.1,1
"('info', 'sarashackleton')",0.0,0.0,12,0.0,0,6,1,12,3,209,0.0,0.24242424242424243,1
"('michellecash', 'davidoxley')",0.0,0.0,18,0.0,0,3,3,6,7,43,0.0,0.26666666666666666,1
"('michellecash', 'amyfitzpatrick')",0.0,0.0,6,0.0,0,3,3,2,7,4,0.0,1.0,1
"('stevenharris', 'lindydonoho')",3.191839246072947,0.5,35,1.0357142857142856,4,2,7,5,29,7,0.23809523809523808,0.4,1
"('lindydonoho', 'stevenharris')",3.191839246072947,0.5,35,1.0357142857142856,4,2,5,7,7,29,0.4,0.23809523809523808,1
"('suzanneadams', 'sheilatweed')",0.45511961331341866,0.3333333333333333,3,0.1111111111111111,1,2,1,3,42,35,0.0,0.0,1
"('pattisullivan', 'mikegrigsby')",0.5138983423697507,0.125,14,0.14285714285714285,1,2,2,7,5,59,0.0,0.14285714285714285,1
"('dutchquigley', 'errolmclaughlin')",0.0,0.0,8,0.0,0,3,4,2,27,19,0.6666666666666666,0.0,1
"('marieheard', 'russelldiamond')",0.0,0.0,2,0.0,0,4,2,1,8,12,1.0,0.0,1
"('marieheard', 'sarashackleton')",0.8157933735356595,0.16666666666666666,24,0.1736111111111111,2,2,2,12,8,209,1.0,0.24242424242424243,1
"('kaymann', 'christianyoder')",0.3898712452512801,0.08333333333333333,45,0.07692307692307693,1,2,9,5,127,34,0.09523809523809523,0.1,1
"('kaymann', 'debraperlingiere')",1.2352458628142324,0.2,36,0.39285714285714285,2,2,9,4,127,38,0.09523809523809523,0.0,1
