edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('tklohman', 'michellelokay')",0.5138983423697507,0.25,4,0.14285714285714285,1,2,1,4,3,28,0.0,0.5,1
"('tklohman', 'audreyrobertson')",0.5138983423697507,0.2,5,0.14285714285714285,1,2,1,5,3,52,0.0,0.6,1
"('richardshapiro', 'paulkaufman')",1.2891624083167885,0.6666666666666666,6,0.40476190476190477,2,2,3,2,67,66,0.3333333333333333,1.0,1
"('richardshapiro', 'joehartsoe')",0.3789231816899512,0.3333333333333333,3,0.07142857142857142,1,2,3,1,67,12,0.3333333333333333,0.0,1
"('chrisabel', 'errolmclaughlin')",0.0,0.0,1,0.0,0,4,1,1,3,4,0.0,0.0,1
"('stuartzisman', 'elizabethsager')",0.5581106265512472,0.16666666666666666,10,0.16666666666666666,1,2,5,2,32,15,0.8,0.0,1
"('michellecash', 'kaymann')",0.0,0.0,9,0.0,0,-1,1,9,2,343,0.0,0.1388888888888889,1
"('michellecash', 'davidbaumbach')",0.0,0.0,1,0.0,0,-1,1,1,2,8,0.0,0.0,1
"('michellecash', 'davidoxley')",0.0,0.0,1,0.0,0,-1,1,1,2,45,0.0,0.0,1
"('stevenharris', 'jeffdasovich')",1.1352332769293625,0.1111111111111111,84,0.34285714285714286,2,2,6,14,45,251,0.5333333333333333,0.07692307692307693,1
"('brittdavis', 'drewfossum')",0.0,0.0,10,0.0,0,5,2,5,6,29,0.0,0.3,1
"('lindydonoho', 'kevinhyatt')",1.179445561110859,0.2857142857142857,14,0.3666666666666667,2,2,2,7,12,43,1.0,0.3333333333333333,1
"('pattisullivan', 'torikuykendall')",0.48089834696298783,0.5,2,0.125,1,2,1,2,3,13,0.0,1.0,1
"('dutchquigley', 'errolmclaughlin')",0.3898712452512801,1.0,1,0.07692307692307693,1,2,1,1,4,4,0.0,0.0,1
"('paulkaufman', 'richardshapiro')",1.2891624083167885,0.6666666666666666,6,0.40476190476190477,2,2,2,3,66,67,1.0,0.3333333333333333,1
"('paulkaufman', 'karendenne')",0.3789231816899512,0.5,2,0.07142857142857142,1,2,2,1,66,12,1.0,0.0,1
"('paulkaufman', 'joehartsoe')",0.3789231816899512,0.5,2,0.07142857142857142,1,2,2,1,66,12,1.0,0.0,1
"('marieheard', 'susanbailey')",0.3284587387530511,0.14285714285714285,12,0.047619047619047616,1,2,2,6,20,43,1.0,0.7333333333333333,1
"('marieheard', 'samanthaboyd')",0.3284587387530511,0.125,14,0.047619047619047616,1,2,2,7,20,70,1.0,0.6190476190476191,1
"('kaymann', 'michellecash')",0.0,0.0,9,0.0,0,-1,9,1,343,2,0.1388888888888889,0.0,1
"('kaymann', 'elizabethsager')",0.0,0.0,18,0.0,0,3,9,2,343,15,0.1388888888888889,0.0,1
"('kaymann', 'gregjohnston')",0.3284587387530511,0.09090909090909091,27,0.047619047619047616,1,2,9,3,343,82,0.1388888888888889,1.0,1
"('scottneal', 'chrisgermany')",0.0,0.0,2,0.0,0,-1,2,1,16,27,1.0,0.0,1
"('kevinhyatt', 'lindydonoho')",1.179445561110859,0.2857142857142857,14,0.3666666666666667,2,2,7,2,43,12,0.3333333333333333,1.0,1
"('davidbaumbach', 'michellecash')",0.0,0.0,1,0.0,0,-1,1,1,8,2,0.0,0.0,1
"('davidbaumbach', 'jimschwieger')",0.0,0.0,1,0.0,0,6,1,1,8,4,0.0,0.0,1
"('davidbaumbach', 'sallybeck')",0.0,0.0,7,0.0,0,5,1,7,8,88,0.0,0.047619047619047616,1
"('jeffdasovich', 'stevenharris')",1.1352332769293625,0.1111111111111111,84,0.34285714285714286,2,2,14,6,251,45,0.07692307692307693,0.5333333333333333,1
"('shonawilson', 'lesliereeves')",0.5138983423697507,0.5,2,0.14285714285714285,1,2,2,1,50,8,1.0,0.0,1
"('alanaronowitz', 'marcusnettelton')",1.7711537796420145,0.4,10,0.5476190476190477,2,2,5,2,93,6,0.4,0.0,1
"('alanaronowitz', 'marycook')",0.6569174775061022,0.125,65,0.09523809523809523,2,2,5,13,93,184,0.4,0.3333333333333333,1
"('marcusnettelton', 'alanaronowitz')",1.7711537796420145,0.4,10,0.5476190476190477,2,2,2,5,6,93,0.0,0.4,1
"('wescolwell', 'sallybeck')",0.9163279467515955,0.2857142857142857,14,0.22619047619047616,2,2,2,7,8,88,0.0,0.047619047619047616,1
"('vkamins', 'shirleycrenshaw')",0.0,0.0,2,0.0,0,-1,1,2,12,6,0.0,0.0,1
"('matthewlenhart', 'robertbadeer')",0.0,0.0,5,0.0,0,5,5,1,108,2,0.2,0.0,1
"('lesliereeves', 'shonawilson')",0.5138983423697507,0.5,2,0.14285714285714285,1,2,1,2,8,50,0.0,1.0,1
