edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('rickbuy', 'janetdietrich')",0.0,0.0,12,0.0,0,3,4,3,9,21,0.16666666666666666,1.0,1
"('rickbuy', 'sallybeck')",0.4170323914242463,0.2,8,0.09090909090909091,1,2,4,2,9,5,0.16666666666666666,1.0,1
"('michellecash', 'amyfitzpatrick')",0.0,0.0,6,0.0,0,3,2,3,7,3,0.0,0.0,1
"('stevenharris', 'juliearmstrong')",1.9007930815553409,0.375,30,0.6166666666666667,3,2,6,5,13,14,0.4,0.3,1
"('stevenharris', 'lornabrennan')",0.0,0.0,6,0.0,0,3,6,1,13,8,0.4,0.0,1
"('lindydonoho', 'lornabrennan')",0.6213349345596119,0.16666666666666666,6,0.2,1,2,6,1,9,8,0.5333333333333333,0.0,1
"('dutchquigley', 'inarangel')",0.0,0.0,6,0.0,0,5,6,1,18,2,0.16666666666666666,0.0,1
"('marieheard', 'alanaronowitz')",0.0,0.0,11,0.0,0,5,11,1,22,5,0.03636363636363636,0.0,1
"('marieheard', 'brenthendry')",2.352934267515801,0.16666666666666666,33,0.8333333333333333,2,2,11,3,22,5,0.03636363636363636,0.3333333333333333,1
"('marieheard', 'marycook')",2.352934267515801,0.16666666666666666,33,0.8333333333333333,2,2,11,3,22,4,0.03636363636363636,0.3333333333333333,1
"('johnlavorato', 'markkoenig')",0.0,0.0,22,0.0,0,4,11,2,27,4,0.2545454545454545,0.0,1
"('johnlavorato', 'barrytycholiz')",0.6867643245600952,0.15384615384615385,44,0.10882352941176471,2,2,11,4,27,22,0.2545454545454545,0.16666666666666666,1
"('johnlavorato', 'travismccullough')",0.0,0.0,22,0.0,0,4,11,2,27,5,0.2545454545454545,0.0,1
"('kevinhyatt', 'audreyrobertson')",0.5581106265512472,0.125,20,0.16666666666666666,1,2,5,4,22,5,0.2,0.6666666666666666,1
"('brianredmond', 'davidbaumbach')",0.0,0.0,6,0.0,0,-1,2,3,2,3,1.0,0.0,1
"('brianredmond', 'gregwhalley')",0.4170323914242463,0.16666666666666666,10,0.09090909090909091,1,2,2,5,2,45,1.0,0.5,1
"('brianredmond', 'geraldnemec')",0.0,0.0,4,0.0,0,3,2,2,2,18,1.0,0.0,1
"('davidbaumbach', 'brianredmond')",0.0,0.0,6,0.0,0,-1,3,2,3,2,0.0,1.0,1
"('jeffdasovich', 'timbelden')",1.3913234498486193,0.13043478260869565,120,0.3497326203208556,3,2,20,6,581,19,0.08947368421052632,0.3333333333333333,1
"('juliearmstrong', 'stevenharris')",1.9007930815553409,0.375,30,0.6166666666666667,3,2,5,6,14,13,0.3,0.4,1
"('alanaronowitz', 'marieheard')",0.0,0.0,11,0.0,0,5,1,11,5,22,0.0,0.03636363636363636,1
"('psellers', 'eldon')",0.33380820069533407,0.3333333333333333,4,0.05,1,2,2,2,10,6,1.0,1.0,1
"('markkoenig', 'johnlavorato')",0.0,0.0,22,0.0,0,4,2,11,4,27,0.0,0.2545454545454545,1
"('markkoenig', 'gregwhalley')",0.0,0.0,10,0.0,0,4,2,5,4,45,0.0,0.5,1
"('markkoenig', 'louisekitchen')",0.0,0.0,34,0.0,0,3,2,17,4,78,0.0,0.11764705882352941,1
"('timbelden', 'jeffdasovich')",1.3913234498486193,0.13043478260869565,120,0.3497326203208556,3,2,6,20,19,581,0.3333333333333333,0.08947368421052632,1
"('timbelden', 'kennethlay')",0.0,0.0,12,0.0,0,3,6,2,19,14,0.3333333333333333,0.0,1
"('timbelden', 'stewartrosman')",0.0,0.0,6,0.0,0,3,6,1,19,1,0.3333333333333333,0.0,1
"('timbelden', 'mikegrigsby')",0.0,0.0,18,0.0,0,3,6,3,19,11,0.3333333333333333,0.0,1
"('timbelden', 'amyfitzpatrick')",0.35295612386476116,0.125,18,0.058823529411764705,1,2,6,3,19,3,0.3333333333333333,0.0,1
"('brenthendry', 'marieheard')",2.352934267515801,0.16666666666666666,33,0.8333333333333333,2,2,3,11,5,22,0.3333333333333333,0.03636363636363636,1
"('brenthendry', 'geraldnemec')",0.0,0.0,6,0.0,0,4,3,2,5,18,0.3333333333333333,0.0,1
"('barrytycholiz', 'johnlavorato')",0.6867643245600952,0.15384615384615385,44,0.10882352941176471,2,2,4,11,22,27,0.16666666666666666,0.2545454545454545,1
"('edwardsacks', 'elizabethsager')",0.9102392266268373,0.125,18,0.3333333333333333,1,2,3,6,8,12,0.3333333333333333,0.0,1
"('davidoxley', 'gregwhalley')",0.9751430179754935,0.2857142857142857,20,0.25757575757575757,2,2,4,5,9,45,0.5,0.5,1
"('davidoxley', 'amyfitzpatrick')",0.35295612386476116,0.16666666666666666,12,0.058823529411764705,1,2,4,3,9,3,0.5,0.0,1
"('gregwhalley', 'brianredmond')",0.4170323914242463,0.16666666666666666,10,0.09090909090909091,1,2,5,2,45,2,0.5,1.0,1
"('gregwhalley', 'markkoenig')",0.0,0.0,10,0.0,0,4,5,2,45,4,0.5,0.0,1
"('gregwhalley', 'davidoxley')",0.9751430179754935,0.2857142857142857,20,0.25757575757575757,2,2,5,4,45,9,0.5,0.5,1
"('gregwhalley', 'travismccullough')",0.0,0.0,10,0.0,0,4,5,2,45,5,0.5,0.0,1
"('gregwhalley', 'louisekitchen')",1.7432457005740793,0.2222222222222222,85,0.4075757575757576,4,2,5,17,45,78,0.5,0.11764705882352941,1
"('gregwhalley', 'sallybeck')",0.4170323914242463,0.16666666666666666,10,0.09090909090909091,1,2,5,2,45,5,0.5,1.0,1
"('johngriffith', 'andyzipper')",0.5581106265512472,0.3333333333333333,4,0.16666666666666666,1,2,2,2,2,3,1.0,0.0,1
"('travismccullough', 'johnlavorato')",0.0,0.0,22,0.0,0,4,2,11,5,27,0.0,0.2545454545454545,1
"('travismccullough', 'gregwhalley')",0.0,0.0,10,0.0,0,4,2,5,5,45,0.0,0.5,1
"('sarahnovosel', 'joehartsoe')",0.33380820069533407,0.3333333333333333,3,0.05,1,2,3,1,34,12,0.3333333333333333,0.0,1
"('lornabrennan', 'stevenharris')",0.0,0.0,6,0.0,0,3,1,6,8,13,0.0,0.4,1
"('lornabrennan', 'lindydonoho')",0.6213349345596119,0.16666666666666666,6,0.2,1,2,1,6,8,9,0.0,0.5333333333333333,1
"('andyzipper', 'johngriffith')",0.5581106265512472,0.3333333333333333,4,0.16666666666666666,1,2,2,2,3,2,0.0,1.0,1
"('andyzipper', 'errolmclaughlin')",0.0,0.0,2,0.0,0,3,2,1,3,1,0.0,0.0,1
"('andyzipper', 'johnarnold')",0.5581106265512472,0.125,14,0.16666666666666666,1,2,2,7,3,21,0.0,0.14285714285714285,1
"('errolmclaughlin', 'andyzipper')",0.0,0.0,2,0.0,0,3,1,2,1,3,0.0,0.0,1
"('chrisstokley', 'stewartrosman')",0.9102392266268373,1.0,1,0.3333333333333333,1,2,1,1,1,1,0.0,0.0,1
"('russelldiamond', 'debraperlingiere')",0.0,0.0,5,0.0,0,6,1,5,1,21,0.0,0.2,1
"('kennethlay', 'timbelden')",0.0,0.0,12,0.0,0,3,2,6,14,19,0.0,0.3333333333333333,1
"('kennethlay', 'sallybeck')",0.0,0.0,4,0.0,0,3,2,2,14,5,0.0,1.0,1
"('lorrainelindberg', 'audreyrobertson')",2.2956668142133534,0.8,20,0.7,4,2,5,4,10,5,0.5,0.6666666666666666,1
"('eldon', 'psellers')",0.33380820069533407,0.3333333333333333,4,0.05,1,2,2,2,6,10,1.0,1.0,1
"('geraldnemec', 'brianredmond')",0.0,0.0,4,0.0,0,3,2,2,18,2,0.0,1.0,1
"('geraldnemec', 'brenthendry')",0.0,0.0,6,0.0,0,4,2,3,18,5,0.0,0.3333333333333333,1
"('stewartrosman', 'timbelden')",0.0,0.0,6,0.0,0,3,1,6,1,19,0.0,0.3333333333333333,1
"('stewartrosman', 'chrisstokley')",0.9102392266268373,1.0,1,0.3333333333333333,1,2,1,1,1,1,0.0,0.0,1
"('inarangel', 'dutchquigley')",0.0,0.0,6,0.0,0,5,1,6,2,18,0.0,0.16666666666666666,1
"('inarangel', 'johnarnold')",0.0,0.0,7,0.0,0,4,1,7,2,21,0.0,0.14285714285714285,1
"('sarashackleton', 'samanthaboyd')",0.4170323914242463,0.3333333333333333,4,0.09090909090909091,1,2,2,2,4,4,0.0,0.0,1
"('johnarnold', 'andyzipper')",0.5581106265512472,0.125,14,0.16666666666666666,1,2,7,2,21,3,0.14285714285714285,0.0,1
"('johnarnold', 'inarangel')",0.0,0.0,7,0.0,0,4,7,1,21,2,0.14285714285714285,0.0,1
"('johnarnold', 'lauraluce')",0.7699885152890075,0.2857142857142857,14,0.1497326203208556,2,2,7,2,21,3,0.14285714285714285,1.0,1
"('mikegrigsby', 'timbelden')",0.0,0.0,18,0.0,0,3,3,6,11,19,0.0,0.3333333333333333,1
"('mikegrigsby', 'ericbass')",0.0,0.0,3,0.0,0,-1,3,1,11,1,0.0,0.0,1
"('susanbailey', 'samanthaboyd')",1.3272716180510837,0.6666666666666666,6,0.4242424242424242,2,2,3,2,6,4,0.3333333333333333,0.0,1
"('susanbailey', 'debraperlingiere')",0.4170323914242463,0.14285714285714285,15,0.09090909090909091,1,2,3,5,6,21,0.3333333333333333,0.2,1
"('drewfossum', 'rodhayslett')",0.0,0.0,2,0.0,0,3,2,1,3,1,1.0,0.0,1
"('drewfossum', 'joehartsoe')",0.33380820069533407,0.5,2,0.05,1,2,2,1,3,12,1.0,0.0,1
"('amyfitzpatrick', 'michellecash')",0.0,0.0,6,0.0,0,3,3,2,3,7,0.0,0.0,1
"('amyfitzpatrick', 'timbelden')",0.35295612386476116,0.125,18,0.058823529411764705,1,2,3,6,3,19,0.0,0.3333333333333333,1
"('amyfitzpatrick', 'davidoxley')",0.35295612386476116,0.16666666666666666,12,0.058823529411764705,1,2,3,4,3,9,0.0,0.5,1
"('rodhayslett', 'drewfossum')",0.0,0.0,2,0.0,0,3,1,2,1,3,0.0,1.0,1
"('audreyrobertson', 'kevinhyatt')",0.5581106265512472,0.125,20,0.16666666666666666,1,2,4,5,5,22,0.6666666666666666,0.2,1
"('audreyrobertson', 'lorrainelindberg')",2.2956668142133534,0.8,20,0.7,4,2,4,5,5,10,0.6666666666666666,0.5,1
"('janetdietrich', 'rickbuy')",0.0,0.0,12,0.0,0,3,3,4,21,9,1.0,0.16666666666666666,1
"('samanthaboyd', 'sarashackleton')",0.4170323914242463,0.3333333333333333,4,0.09090909090909091,1,2,2,2,4,4,0.0,0.0,1
"('samanthaboyd', 'susanbailey')",1.3272716180510837,0.6666666666666666,6,0.4242424242424242,2,2,2,3,4,6,0.0,0.3333333333333333,1
"('samanthaboyd', 'marycook')",0.9102392266268373,0.25,6,0.3333333333333333,1,2,2,3,4,4,0.0,0.3333333333333333,1
"('elizabethsager', 'edwardsacks')",0.9102392266268373,0.125,18,0.3333333333333333,1,2,6,3,12,8,0.0,0.3333333333333333,1
"('elizabethsager', 'marycook')",0.0,0.0,18,0.0,0,5,6,3,12,4,0.0,0.3333333333333333,1
"('ericbass', 'mikegrigsby')",0.0,0.0,3,0.0,0,-1,1,3,1,11,0.0,0.0,1
"('chrisgermany', 'kamkeiser')",0.0,0.0,1,0.0,0,-1,1,1,1,1,0.0,0.0,1
"('marycook', 'marieheard')",2.352934267515801,0.16666666666666666,33,0.8333333333333333,2,2,3,11,4,22,0.3333333333333333,0.03636363636363636,1
