edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
"('sheilatweed', 'lisamellencamp')",0.6213349345596119,0.2,8,0.2,1,2,2,4,82,13,0.0,0.3333333333333333,1
"('tklohman', 'drewfossum')",0.6213349345596119,0.125,20,0.2,1,2,4,5,8,31,1.0,0.1,1
"('rickbuy', 'shonawilson')",0.0,0.0,16,0.0,0,3,4,4,6,10,0.0,0.3333333333333333,1
"('rickbuy', 'davidoxley')",0.48089834696298783,0.14285714285714285,16,0.125,1,2,4,4,6,11,0.0,0.6666666666666666,1
"('rickbuy', 'lisamellencamp')",0.0,0.0,16,0.0,0,4,4,4,6,13,0.0,0.3333333333333333,1
"('rickbuy', 'janetdietrich')",0.0,0.0,4,0.0,0,3,4,1,6,6,0.0,0.0,1
"('rickbuy', 'sallybeck')",0.48089834696298783,0.09090909090909091,32,0.125,1,2,4,8,6,48,0.0,0.21428571428571427,1
"('richardshapiro', 'johnlavorato')",0.0,0.0,52,0.0,0,3,4,13,147,53,0.5,0.15384615384615385,1
"('richardshapiro', 'timbelden')",1.2795085996956923,0.2222222222222222,28,0.39999999999999997,2,2,4,7,147,22,0.5,0.14285714285714285,1
"('richardshapiro', 'robertfrank')",0.36926937306885504,0.25,4,0.06666666666666667,1,2,4,1,147,10,0.5,0.0,1
"('richardshapiro', 'gregwhalley')",0.0,0.0,32,0.0,0,4,4,8,147,19,0.5,0.21428571428571427,1
"('richardshapiro', 'sarahnovosel')",0.36926937306885504,0.25,4,0.06666666666666667,1,2,4,1,147,10,0.5,0.0,1
"('richardshapiro', 'louisekitchen')",0.0,0.0,56,0.0,0,3,4,14,147,79,0.5,0.0989010989010989,1
"('chrisabel', 'johnarnold')",0.0,0.0,20,0.0,0,3,2,10,2,98,1.0,0.17777777777777778,1
"('keithholst', 'torikuykendall')",0.4170323914242463,0.25,6,0.09090909090909091,1,2,2,3,18,42,1.0,0.3333333333333333,1
"('info', 'rosaleefleming')",0.0,0.0,1,0.0,0,-1,1,1,10,2,0.0,0.0,1
"('stuartzisman', 'debraperlingiere')",0.0,0.0,12,0.0,0,3,3,4,31,66,0.0,0.3333333333333333,1
"('stuartzisman', 'louisekitchen')",0.0,0.0,42,0.0,0,3,3,14,31,79,0.0,0.0989010989010989,1
"('stevenharris', 'kevinhyatt')",1.8640048036788355,0.42857142857142855,25,0.6000000000000001,3,2,5,5,20,20,0.2,0.6,1
"('stevenharris', 'jeffdasovich')",0.6213349345596119,0.05263157894736842,75,0.2,1,2,5,15,20,464,0.2,0.08571428571428572,1
"('stevenharris', 'rodhayslett')",0.6213349345596119,0.2,5,0.2,1,2,5,1,20,5,0.2,0.0,1
"('pattisullivan', 'victorlamadrid')",0.0,0.0,2,0.0,0,-1,2,1,16,2,1.0,0.0,1
"('paulkaufman', 'karendenne')",1.0906168935133367,0.6666666666666666,6,0.31666666666666665,2,2,2,3,108,117,1.0,0.6666666666666666,1
"('marieheard', 'marycook')",0.6927848262175276,0.18181818181818182,22,0.11212121212121212,2,2,2,11,10,110,1.0,0.45454545454545453,1
"('kaymann', 'brianredmond')",0.0,0.0,15,0.0,0,4,5,3,248,28,0.0,1.0,1
"('kaymann', 'edwardsacks')",0.0,0.0,30,0.0,0,3,5,6,248,16,0.0,0.5333333333333333,1
"('kaymann', 'travismccullough')",0.0,0.0,15,0.0,0,3,5,3,248,8,0.0,0.3333333333333333,1
"('kaymann', 'elizabethsager')",2.541825973698156,0.23076923076923078,55,0.9166666666666666,3,2,5,11,248,52,0.0,0.10909090909090909,1
"('scottneal', 'inarangel')",0.0,0.0,12,0.0,0,3,2,6,7,31,0.0,0.3333333333333333,1
"('scottneal', 'chrisgermany')",0.0,0.0,4,0.0,0,-1,2,2,7,4,0.0,0.0,1
"('johnlavorato', 'richardshapiro')",0.0,0.0,52,0.0,0,3,13,4,53,147,0.15384615384615385,0.5,1
"('johnlavorato', 'barrytycholiz')",0.4170323914242463,0.06666666666666667,39,0.09090909090909091,1,2,13,3,53,23,0.15384615384615385,0.0,1
"('johnlavorato', 'andyzipper')",0.3789231816899512,0.07142857142857142,26,0.07142857142857142,1,2,13,2,53,11,0.15384615384615385,1.0,1
"('johnlavorato', 'peterkeohane')",0.0,0.0,91,0.0,0,3,13,7,53,35,0.15384615384615385,0.3333333333333333,1
"('kevinhyatt', 'stevenharris')",1.8640048036788355,0.42857142857142855,25,0.6000000000000001,3,2,5,5,20,20,0.6,0.2,1
"('kevinhyatt', 'audreyrobertson')",0.6213349345596119,0.16666666666666666,10,0.2,1,2,5,2,20,4,0.6,0.0,1
"('brianredmond', 'kaymann')",0.0,0.0,15,0.0,0,4,3,5,28,248,1.0,0.0,1
"('davidbaumbach', 'kamkeiser')",0.0,0.0,1,0.0,0,-1,1,1,3,2,0.0,0.0,1
"('jeffdasovich', 'stevenharris')",0.6213349345596119,0.05263157894736842,75,0.2,1,2,15,5,464,20,0.08571428571428572,0.2,1
"('jamesderrick', 'kennethlay')",0.0,0.0,3,0.0,0,4,3,1,5,1,0.0,0.0,1
"('jamesderrick', 'lisamellencamp')",0.0,0.0,12,0.0,0,3,3,4,5,13,0.0,0.3333333333333333,1
"('jamesderrick', 'drewfossum')",0.0,0.0,15,0.0,0,5,3,5,5,31,0.0,0.1,1
