edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,edge_persistence,cc_u_delta,cc_v_delta,label
"('huntershively', 'tommyyanowski')",0.0,0.0,75,0.0,0,4,0,0,0,1
"('huntershively', 'kevinruscitti')",0.0,0.0,250,0.0,0,4,0,0,0,1
"('huntershively', 'jennifermilligan')",0.6358723528748266,0.08,50,0.09183673469387754,2,2,0,0,0,1
"('huntershively', 'axisteam')",0.0,0.0,25,0.0,0,3,0,0,0,1
"('huntershively', 'tomdonohoe')",0.0,0.0,25,0.0,0,-1,0,0,0,1
"('huntershively', 'scotttholan')",0.45511961331341866,0.03225806451612903,175,0.1111111111111111,1,2,0,0,0,1
"('huntershively', 'daviddelainey')",1.953978990217881,0.03614457831325301,1525,0.540016006402561,3,2,0,0,0,1
"('huntershively', 'colleensullivan')",0.5356011922067706,0.07407407407407407,100,0.04817927170868347,2,2,0,0,0,1
"('huntershively', 'bethperlman')",0.25433477814404226,0.038461538461538464,50,0.0196078431372549,1,2,0,0,0,1
"('koriloibl', 'crystalhyde')",0.0,0.0,8,0.0,0,4,0,0,0,1
"('koriloibl', 'johnarnold')",0.0,0.0,196,0.0,0,3,0,0,0,1
"('koriloibl', 'brianhoskins')",0.0,0.0,16,0.0,0,4,0,0,0,1
"('koriloibl', 'aliciaperkins')",0.0,0.0,4,0.0,0,5,0,0,0,1
"('bridgetteanderson', 'karenlambert')",0.21667906533553166,0.08333333333333333,22,0.009900990099009901,1,2,0,0,0,1
"('walker', 'rosaleefleming')",0.0,0.0,19,0.0,0,3,0,0,0,1
"('cathyphillips', 'thorlien')",0.24842549839846914,0.14285714285714285,7,0.017857142857142856,1,2,0,0,0,1
"('cathyphillips', 'darrenmaloney')",0.24842549839846914,0.1,28,0.017857142857142856,1,2,0,0,0,1
"('cathyphillips', 'angiecollins')",0.0,0.0,7,0.0,0,-1,0,0,0,1
"('cathyphillips', 'craigyoung')",0.0,0.0,7,0.0,0,4,0,0,0,1
"('marklay', 'twandasweet')",0.2518706487516997,0.06666666666666667,48,0.018867924528301886,1,2,0,0,0,1
"('marklay', 'lizardar')",0.0,0.0,20,0.0,0,3,0,0,0,1
"('mikesmith', 'markcourtney')",0.0,0.0,2,0.0,0,6,0,0,0,1
"('mikesmith', 'geraldnemec')",0.0,0.0,79,0.0,0,5,0,0,0,1
"('williamkelly', 'susanscott')",0.0,0.0,132,0.0,0,4,0,0,0,1
"('williamkelly', 'irenahogan')",0.0,0.0,3,0.0,0,4,0,0,0,1
"('makris', 'richardbsanders')",0.2518706487516997,0.125,8,0.018867924528301886,1,2,0,0,0,1
"('dhall', 'brentprice')",0.23699447183691388,0.125,18,0.014705882352941176,1,2,0,0,0,1
"('dhall', 'mikejordan')",0.23699447183691388,0.2,9,0.014705882352941176,1,2,0,0,0,1
"('dhall', 'jamesnew')",0.23699447183691388,0.3333333333333333,3,0.014705882352941176,1,2,0,0,0,1
"('richardcausey', 'eronn')",0.0,0.0,14,0.0,0,3,0,0,0,1
"('richardcausey', 'maureenmcvicker')",0.0,0.0,217,0.0,0,3,0,0,0,1
"('davidmaxwell', 'shonawilson')",0.0,0.0,14,0.0,0,3,0,0,0,1
"('stephendouglas', 'rhettjackson')",0.0,0.0,2,0.0,0,5,0,0,0,1
"('stephendouglas', 'janinejuggins')",0.0,0.0,1,0.0,0,4,0,0,0,1
"('stephendouglas', 'sarashackleton')",0.0,0.0,102,0.0,0,3,0,0,0,1
"('officechairman', 'allenron')",0.0,0.0,5,0.0,0,3,0,0,0,1
"('davidbaumbach', 'carlanguyen')",0.35295612386476116,0.0625,52,0.058823529411764705,1,2,0,0,0,1
"('davidbaumbach', 'irenahogan')",0.35295612386476116,0.07692307692307693,13,0.058823529411764705,1,2,0,0,0,1
