edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,edge_persistence,cc_u_delta,cc_v_delta,label
"('huntershively', 'martincuilla')",0.0,0.0,312,0.0,0,3,0,0.007101449275362319,-0.17435897435897438,1
"('huntershively', 'kimberlybrown')",0.269282508064391,0.037037037037037035,96,0.024390243902439025,1,2,0,0.007101449275362319,0.16666666666666669,1
"('huntershively', 'eugenioperez')",0.0,0.0,96,0.0,0,3,0,0.007101449275362319,-0.33333333333333337,1
"('huntershively', 'seanboyle')",0.269282508064391,0.037037037037037035,96,0.024390243902439025,1,2,0,0.007101449275362319,0.6666666666666666,1
"('huntershively', 'vincekaminski')",0.21315835557367352,0.008547008547008548,2256,0.009174311926605505,1,2,0,0.007101449275362319,0.004571863062314836,1
"('jscheib', 'scotthealy')",0.6213349345596119,0.1,10,0.2,1,2,0,0.0,0.3111111111111111,1
"('jscheib', 'kaymann')",0.6213349345596119,0.011363636363636364,88,0.2,1,2,0,0.0,0.004247668040771488,1
"('jscheib', 'jleitman')",0.0,0.0,1,0.0,0,3,0,0.0,0.0,1
"('jscheib', 'heatherkroll')",0.6213349345596119,0.16666666666666666,6,0.2,1,2,0,0.0,0.2738095238095238,1
"('rogeryang', 'marciemilner')",0.6262757812302153,0.14285714285714285,48,0.09931245225362872,2,2,0,-0.3268398268398269,0.6666666666666666,1
"('rogeryang', 'wandacurry')",0.48089834696298783,0.08333333333333333,12,0.125,1,2,0,-0.3268398268398269,0.0,1
"('rogeryang', 'maryhain')",1.207597388694667,0.08,504,0.16197478991596637,4,2,0,-0.3268398268398269,-0.032552364932516314,1
"('rogeryang', 'jbennett')",0.6116729941878136,0.15384615384615385,36,0.09173669467787114,2,2,0,-0.3268398268398269,1.0,1
"('michellehargrave', 'jeffdasovich')",0.5581106265512472,0.008333333333333333,238,0.16666666666666666,1,2,0,0.0,-0.02040313068188346,1
"('koriloibl', 'susanscott')",0.870769592214268,0.023809523809523808,553,0.20192307692307693,2,2,1,-0.23809523809523808,-0.019611092469496945,1
"('koriloibl', 'chrisgermany')",2.352934267515801,0.028169014084507043,462,0.8333333333333333,2,2,0,-0.23809523809523808,0.0024908366436022285,1
"('koriloibl', 'robinrodrigue')",0.7213475204444817,0.043478260869565216,119,0.25,1,2,0,-0.23809523809523808,-0.014778325123152709,1
"('laurawilkinson', 'emilysellers')",0.0,0.0,6,0.0,0,5,0,0.0,0.06666666666666667,1
"('gonarvco', 'nancysellers')",0.0,0.0,11,0.0,0,4,0,0.0,-0.04545454545454546,1
"('gonarvco', 'eldon')",0.9102392266268373,0.3333333333333333,3,0.3333333333333333,1,2,0,0.0,0.3333333333333333,1
"('bridgetteanderson', 'danhyvl')",0.20295281385904423,0.020833333333333332,48,0.007246376811594203,1,2,0,-1.0,-0.04995645141221849,1
"('romeshwadhwani', 'sheadugger')",0.0,0.0,4,0.0,0,3,0,0.0,0.0,1
"('mikesmith', 'sharistack')",0.0,0.0,48,0.0,0,3,0,0.4666666666666667,0.03246753246753245,1
"('mikesmith', 'jamessteffes')",0.49575129783772265,0.05128205128205128,210,0.036309523809523805,2,2,0,0.4666666666666667,-0.07936507936507936,1
"('mikesmith', 'geraldnemec')",0.0,0.0,336,0.0,0,3,1,0.4666666666666667,-0.009408945484894852,1
"('mikesmith', 'debraperlingiere')",0.0,0.0,246,0.0,0,3,0,0.4666666666666667,0.002393396382943419,1
"('darcycarroll', 'johnlavorato')",0.23868315209103041,0.022222222222222223,88,0.015151515151515152,1,2,0,0.0,0.011421464991916437,1
"('darcycarroll', 'gregwhalley')",0.0,0.0,16,0.0,0,3,0,0.0,-0.07539682539682539,1
"('darcycarroll', 'brenthendry')",0.0,0.0,46,0.0,0,3,0,0.0,-0.14563697172392825,1
"('cathyphillips', 'pierreaury')",0.21315835557367352,0.125,8,0.009174311926605505,1,2,0,0.09523809523809523,0.0,1
"('cathyphillips', 'alanaronowitz')",0.0,0.0,200,0.0,0,3,0,0.09523809523809523,-0.012911725955204206,1
"('cathyphillips', 'vincekaminski')",0.21315835557367352,0.009900990099009901,752,0.009174311926605505,1,2,0,0.09523809523809523,0.004571863062314836,1
"('cathyphillips', 'ninagarcia')",0.0,0.0,8,0.0,0,4,1,0.09523809523809523,0.0,1
"('marklay', 'twandasweet')",0.2282049114186687,0.03225806451612903,112,0.0125,1,2,1,0.0,-0.0444925444925445,1
"('marklay', 'michaelmiller')",0.0,0.0,4,0.0,0,4,0,0.0,0.0,1
"('marklay', 'kennethlay')",0.0,0.0,244,0.0,0,3,0,0.0,-0.0037082493205926183,1
"('marklay', 'gregwhalley')",0.2282049114186687,0.09090909090909091,32,0.0125,1,2,0,0.0,-0.07539682539682539,1
"('williamkelly', 'georgeweissman')",0.269282508064391,0.2,8,0.024390243902439025,1,2,0,-0.5,0.0,1
"('williamkelly', 'michaelwalters')",0.2530848692773169,0.16666666666666666,12,0.019230769230769232,1,2,0,-0.5,0.0,1
"('williamkelly', 'kamkeiser')",0.2530848692773169,0.14285714285714285,16,0.019230769230769232,1,2,0,-0.5,0.0,1
"('williamkelly', 'darrongiron')",0.2530848692773169,0.021739130434782608,172,0.019230769230769232,1,2,0,-0.5,0.0035794662951452155,1
"('williamkelly', 'chrisgermany')",0.269282508064391,0.014492753623188406,264,0.024390243902439025,1,2,2,-0.5,0.0024908366436022285,1
"('williamkelly', 'jeffreygossett')",0.36926937306885504,0.07692307692307693,40,0.06666666666666667,1,2,0,-0.5,-0.18888888888888888,1
"('williamkelly', 'ericbass')",0.2530848692773169,0.027777777777777776,132,0.019230769230769232,1,2,0,-0.5,0.009460367218987905,1
"('williamkelly', 'victorguggenheim')",0.2530848692773169,0.16666666666666666,12,0.019230769230769232,1,2,0,-0.5,1.0,1
"('williamkelly', 'williamkasemervisz')",0.0,0.0,12,0.0,0,3,0,-0.5,0.0,1
"('williamkelly', 'gregcouch')",0.0,0.0,4,0.0,0,3,0,-0.5,0.0,1
"('williamkelly', 'errolmclaughlin')",0.0,0.0,52,0.0,0,3,0,-0.5,0.003663003663003664,1
"('williamkelly', 'robinrodrigue')",0.0,0.0,68,0.0,0,3,0,-0.5,-0.014778325123152709,1
"('robinjordan', 'carolclair')",0.0,0.0,21,0.0,0,4,0,0.0,-0.11528822055137844,1
"('kellykimberly', 'cindyderecskey')",0.22569202144874392,0.16666666666666666,6,0.011904761904761904,1,2,0,0.0,-0.09523809523809523,1
"('richardcausey', 'fernleydyson')",0.2239186238120062,0.1111111111111111,25,0.011494252873563218,1,2,0,0.15714285714285714,0.1,1
"('richardcausey', 'maureenmcvicker')",0.0,0.0,80,0.0,0,4,1,0.15714285714285714,0.22553763440860217,1
"('richardcausey', 'bryanseyfried')",0.2201045822301589,0.16666666666666666,10,0.010638297872340425,1,2,0,0.15714285714285714,0.0,1
"('richardcausey', 'mariehejka')",0.0,0.0,20,0.0,0,4,0,0.15714285714285714,0.16666666666666666,1
"('richardcausey', 'kevinhannon')",0.2201045822301589,0.16666666666666666,10,0.010638297872340425,1,2,0,0.15714285714285714,0.0,1
"('richardcausey', 'sherrisera')",0.2201045822301589,0.05,80,0.010638297872340425,1,2,0,0.15714285714285714,-0.07222222222222223,1
"('davidmaxwell', 'shonawilson')",0.0,0.0,22,0.0,0,4,1,0.0,-0.0342990342990343,1
"('piazzet', 'liztaylor')",0.0,0.0,36,0.0,0,-1,0,0.0,0.06105169340463458,1
"('piazzet', 'vincekaminski')",0.0,0.0,282,0.0,0,-1,0,0.0,0.004571863062314836,1
"('piazzet', 'vincejkaminski')",0.0,0.0,81,0.0,0,-1,0,0.0,0.002849002849002849,1
"('araceliromero', 'kevinpresto')",0.0,0.0,15,0.0,0,3,0,0.0,0.6000000000000001,1
"('araceliromero', 'johnlavorato')",0.6213349345596119,0.021739130434782608,132,0.2,1,2,0,0.0,0.011421464991916437,1
"('araceliromero', 'timbelden')",0.0,0.0,63,0.0,0,3,0,0.0,0.015873015873015872,1
"('shericromwell', 'peggybanczak')",0.3898712452512801,0.09090909090909091,32,0.07692307692307693,1,2,0,0.0,0.10714285714285714,1
"('shericromwell', 'rogerbalog')",0.3898712452512801,0.07692307692307693,40,0.07692307692307693,1,2,0,0.0,0.044444444444444446,1
"('shericromwell', 'alanaronowitz')",0.3898712452512801,0.03571428571428571,100,0.07692307692307693,1,2,0,0.0,-0.012911725955204206,1
"('shericromwell', 'elizabethsager')",0.22334705684109696,0.02631578947368421,140,0.011363636363636364,1,2,0,0.0,-0.09964985994397758,1
"('richardtomaski', 'kevinmoore')",0.0,0.0,12,0.0,0,4,0,0.0,0.09523809523809523,1
"('margoreyna', 'laraleibman')",0.6643630031193877,0.18181818181818182,30,0.11951447245564892,2,2,0,0.35555555555555557,-0.26666666666666666,1
"('chrisgaskill', 'seanboyle')",0.0,0.0,8,0.0,0,3,0,0.6666666666666667,0.6666666666666666,1
"('chrisgaskill', 'ericbass')",0.0,0.0,66,0.0,0,4,1,0.6666666666666667,0.009460367218987905,1
"('stephendouglas', 'peterkeohane')",0.0,0.0,8,0.0,0,3,0,0.0,-0.14285714285714285,1
"('stephendouglas', 'daviddelainey')",0.0,0.0,132,0.0,0,3,0,0.0,0.0017119492529328595,1
"('davidbaumbach', 'georgeweissman')",0.0,0.0,18,0.0,0,4,0,-0.0982905982905983,0.0,1
"('davidbaumbach', 'patclynes')",0.2710850306818168,0.05263157894736842,99,0.025,1,2,1,-0.0982905982905983,0.0494172494172494,1
"('davidbaumbach', 'jodycrook')",0.6213349345596119,0.1111111111111111,9,0.2,1,2,0,-0.0982905982905983,0.0,1
"('davidbaumbach', 'michaelwalters')",0.6213349345596119,0.09090909090909091,27,0.2,1,2,0,-0.0982905982905983,0.0,1
"('davidbaumbach', 'patrickwade')",0.2710850306818168,0.07692307692307693,45,0.025,1,2,0,-0.0982905982905983,0.1,1
"('davidbaumbach', 'sandibraband')",0.2710850306818168,0.07692307692307693,45,0.025,1,2,0,-0.0982905982905983,0.3,1
"('davidbaumbach', 'meganparker')",0.2710850306818168,0.1,18,0.025,1,2,0,-0.0982905982905983,0.0,1
"('davidbaumbach', 'philliplove')",0.9073346020622862,0.03389830508474576,468,0.23030303030303031,2,2,1,-0.0982905982905983,-0.034879336349924586,1
"('davidbaumbach', 'thomasmartin')",0.0,0.0,18,0.0,0,3,0,-0.0982905982905983,0.0,1
"('davidbaumbach', 'bobhall')",0.495003654493823,0.15384615384615385,54,0.03649425287356322,2,2,2,-0.0982905982905983,0.021428571428571436,1
"('davidbaumbach', 'onealwinfree')",0.28599966750267436,0.1,18,0.030303030303030304,1,2,0,-0.0982905982905983,1.0,1
"('mikemaggi', 'tanajones')",0.0,0.0,138,0.0,0,3,0,-1.0,-0.012904740807308277,1
"('mikemaggi', 'inarangel')",0.2710850306818168,0.125,8,0.025,1,2,0,-1.0,0.03571428571428571,1
"('hectorcampos', 'shannahusser')",0.28599966750267436,1.0,1,0.030303030303030304,1,2,0,0.0,0.0,1
"('hectorcampos', 'brianhoskins')",0.28599966750267436,0.3333333333333333,3,0.030303030303030304,1,2,0,0.0,0.0,1
"('hectorcampos', 'kevinkindall')",0.0,0.0,1,0.0,0,-1,0,0.0,0.0,1
"('hectorcampos', 'aliciaperkins')",0.0,0.0,2,0.0,0,5,0,0.0,0.0,1
"('careymetz', 'mikegrigsby')",0.0,0.0,30,0.0,0,4,0,0.3333333333333333,0.022466422466422466,1
"('darenjfarmer', 'buylow')",0.0,0.0,8,0.0,0,4,1,0.5333333333333334,0.0,1
"('sdtick', 'danlyons')",0.4170323914242463,0.08333333333333333,36,0.09090909090909091,1,2,0,0.16666666666666666,-0.1468253968253968,1
