edge,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,edge_persistence,cc_u_delta,cc_v_delta,label
"('huntershively', 'frankhayden')",0.2729584204093974,0.043478260869565216,144,0.02564102564102564,1,2,2,0.11564171122994653,-0.12424242424242425,1
"('huntershively', 'billylemmons')",0.0,0.0,48,0.0,0,3,0,0.11564171122994653,0.0,1
"('huntershively', 'airamarteaga')",0.0,0.0,96,0.0,0,3,2,0.11564171122994653,0.03571428571428571,1
"('huntershively', 'markschrab')",0.0,0.0,96,0.0,0,3,0,0.11564171122994653,0.07142857142857142,1
"('huntershively', 'jasonwilliams')",0.25433477814404226,0.023809523809523808,372,0.0196078431372549,1,2,0,0.11564171122994653,-0.24971050454921423,1
"('', 'info')",0.0,0.0,15,0.0,0,6,0,0.0,0.0,1
"('', 'moniquesanchez')",0.0,0.0,27,0.0,0,3,0,0.0,0.25,1
"('', 'hillh')",0.0,0.0,6,0.0,0,8,0,0.0,0.0,1
"('georgiaward', 'robertallwein')",0.0,0.0,14,0.0,0,6,0,0.09523809523809523,0.0,1
"('georgiaward', 'brianripley')",0.0,0.0,7,0.0,0,7,0,0.09523809523809523,0.0,1
"('georgiaward', 'tomacton')",0.0,0.0,21,0.0,0,7,0,0.09523809523809523,0.6666666666666666,1
"('colintonks', 'nateblackburn')",0.0,0.0,20,0.0,0,3,0,0.044444444444444446,0.0,1
"('colintonks', 'dutchquigley')",0.40242960438184466,0.0625,70,0.08333333333333333,1,2,0,0.044444444444444446,-0.10952380952380952,1
"('colintonks', 'davidforster')",0.0,0.0,60,0.0,0,4,0,0.044444444444444446,0.2783882783882784,1
"('colintonks', 'seanboyle')",0.6213349345596119,0.058823529411764705,80,0.2,1,2,0,0.044444444444444446,-0.11904761904761904,1
"('colintonks', 'stephenstock')",0.45511961331341866,0.08333333333333333,30,0.1111111111111111,1,2,0,0.044444444444444446,-0.6666666666666666,1
"('colintonks', 'airamarteaga')",0.45511961331341866,0.058823529411764705,80,0.1111111111111111,1,2,0,0.044444444444444446,0.03571428571428571,1
"('colintonks', 'ashankman')",0.0,0.0,70,0.0,0,3,0,0.044444444444444446,0.0,1
"('davidhoog', 'jeffreyshankman')",0.2473379469500514,0.1,18,0.017543859649122806,1,2,1,0.0,0.18530982905982907,1
"('bethcherry', 'e-mail')",0.0,0.0,28,0.0,0,6,0,0.0,0.0,1
"('koriloibl', 'dutchquigley')",0.0,0.0,7,0.0,0,4,0,-1.0,-0.10952380952380952,1
"('koriloibl', 'moniquesanchez')",0.0,0.0,9,0.0,0,4,0,-1.0,0.25,1
"('koriloibl', 'shannonmcpearson')",0.28853900817779266,0.3333333333333333,3,0.03125,1,2,0,-1.0,-1.0,1
"('koriloibl', 'mscott')",0.0,0.0,15,0.0,0,3,0,-1.0,0.06666666666666667,1
"('paulaharris', 'benjacoby')",0.2239186238120062,0.047619047619047616,21,0.011494252873563218,1,2,0,0.0,0.021645021645021634,1
"('cathyphillips', 'jeffreymcmahon')",0.2473379469500514,0.1,24,0.017543859649122806,1,2,0,0.004761904761904759,0.0,1
"('cathyphillips', 'kenrice')",0.0,0.0,8,0.0,0,4,0,0.004761904761904759,0.0,1
"('cathyphillips', 'dougarnell')",0.0,0.0,40,0.0,0,4,0,0.004761904761904759,0.1,1
"('cathyphillips', 'rickbergsieker')",0.2473379469500514,0.07142857142857142,56,0.017543859649122806,1,2,0,0.004761904761904759,-0.11904761904761904,1
"('cathyphillips', 'kaminski')",0.20961352064055247,0.125,8,0.00847457627118644,1,2,0,0.004761904761904759,0.0,1
"('cathyphillips', 'stanleyhorton')",0.4569514675906039,0.03773584905660377,376,0.026018435920309245,2,2,0,0.004761904761904759,0.01572617946345976,1
"('cathyphillips', 'jeffreyshankman')",0.4569514675906039,0.13333333333333333,72,0.026018435920309245,2,2,2,0.004761904761904759,0.18530982905982907,1
"('cathyphillips', 'stevenkean')",0.2473379469500514,0.010869565217391304,680,0.017543859649122806,1,2,0,0.004761904761904759,0.021675636546753536,1
"('mikesmith', 'carolclair')",0.23459420572161058,0.03333333333333333,150,0.014084507042253521,1,2,0,0.08484848484848484,-0.15893772893772892,1
"('mikesmith', 'robertwilliams')",0.3284587387530511,0.09090909090909091,36,0.047619047619047616,1,2,1,0.08484848484848484,-0.5333333333333333,1
"('mikesmith', 'aliceweekley')",0.0,0.0,12,0.0,0,6,0,0.08484848484848484,0.0,1
"('mikesmith', 'richardsanders')",0.6792465437902172,0.024096385542168676,474,0.10526315789473684,2,2,0,0.08484848484848484,-0.014107895060822993,1
"('mikesmith', 'vickisharp')",0.3396232718951086,0.1,30,0.05263157894736842,1,2,2,0.08484848484848484,0.4484848484848485,1
"('julie', 'vincejkaminski')",0.0,0.0,25,0.0,0,3,2,0.0,0.0,1
"('benfjacoby', 'jeffreydarst')",0.0,0.0,3,0.0,0,3,0,0.0,1.0,1
"('benfjacoby', 'jkeffer')",0.0,0.0,8,0.0,0,3,1,0.0,0.39285714285714285,1
"('benfjacoby', 'lynndekrey')",0.0,0.0,1,0.0,0,3,0,0.0,0.0,1
"('richarddeming', 'sward')",0.0,0.0,16,0.0,0,3,0,0.5,0.0,1
"('richardcausey', 'wescolwell')",0.22886186853915486,0.09090909090909091,36,0.012658227848101266,1,2,0,0.026190476190476195,-0.6,1
"('richardcausey', 'bobbutts')",0.0,0.0,6,0.0,0,5,0,0.026190476190476195,0.0,1
"('richardcausey', 'melissabecker')",0.0,0.0,12,0.0,0,3,0,0.026190476190476195,0.0,1
"('richardcausey', 'bethapollo')",0.8501968030987668,0.11764705882352941,78,0.2126582278481013,2,2,0,0.026190476190476195,-0.858974358974359,1
"('richardcausey', 'rodhayslett')",1.4426950408889634,0.038461538461538464,126,0.5,1,2,0,0.026190476190476195,-0.017948717948717947,1
"('richardcausey', 'fernleydyson')",0.22886186853915486,0.14285714285714285,12,0.012658227848101266,1,2,0,0.026190476190476195,0.0,1
"('richardcausey', 'billylemmons')",0.0,0.0,24,0.0,0,4,0,0.026190476190476195,0.0,1
"('richardcausey', 'shaleshganjoo')",0.0,0.0,6,0.0,0,3,0,0.026190476190476195,0.0,1
