edge,adamic_adar,jaccard,preferential_attachment,label
"('brianredmond', 'geraldnemec')",0.0,0.0,3,0
"('brianredmond', 'danadavis')",0.32351545314867247,0.3333333333333333,3,0
"('brianredmond', 'elizabethsager')",0.0,0.0,27,0
"('brianredmond', 'dutchquigley')",0.0,0.0,18,0
"('brianredmond', 'audreyrobertson')",0.0,0.0,12,0
"('brianredmond', 'brenthendry')",0.0,0.0,3,0
"('brianredmond', 'edwardsacks')",0.0,0.0,9,0
"('brianredmond', 'paulkaufman')",0.0,0.0,12,0
"('brianredmond', 'inarangel')",0.43429448190325176,0.125,18,0
"('brianredmond', 'larrycampbell')",0.0,0.0,6,0
"('brianredmond', 'robertfrank')",0.0,0.0,3,0
"('brianredmond', 'wescolwell')",0.32351545314867247,0.2,9,0
"('brianredmond', 'joehartsoe')",0.0,0.0,6,0
"('brianredmond', 'stewartrosman')",0.0,0.0,3,0
"('brianredmond', 'chrisabel')",0.0,0.0,6,0
"('brianredmond', 'christianyoder')",0.0,0.0,9,0
"('brianredmond', 'nancysellers')",0.0,0.0,12,0
"('brianredmond', 'timbelden')",0.0,0.0,18,0
"('brianredmond', 'kennethlay')",0.0,0.0,15,0
"('brianredmond', 'scottneal')",0.0,0.0,9,0
"('brianredmond', 'johngriffith')",0.0,0.0,15,0
"('brianredmond', 'drewfossum')",0.0,0.0,15,0
"('brianredmond', 'karendenne')",0.32351545314867247,0.14285714285714285,15,0
"('brianredmond', 'elizabethlinnell')",0.0,0.0,3,0
"('brianredmond', 'raymondbowen')",0.32351545314867247,0.3333333333333333,3,0
"('brianredmond', 'johnlavorato')",1.379144869611536,0.2727272727272727,33,0
"('brianredmond', 'robmilnthorp')",0.32351545314867247,0.3333333333333333,3,0
"('brianredmond', 'davidoxley')",0.32351545314867247,0.2,9,0
"('brianredmond', 'michellecash')",0.32351545314867247,0.14285714285714285,15,0
"('brianredmond', 'brittdavis')",0.0,0.0,3,0
"('brianredmond', 'cindyolson')",0.0,0.0,3,0
"('brianredmond', 'sheilaglover')",0.0,0.0,6,0
"('brianredmond', 'janetdietrich')",0.0,0.0,9,0
"('brianredmond', 'tanyarohauer')",0.0,0.0,12,0
"('brianredmond', 'mikegrigsby')",0.43429448190325176,0.1111111111111111,21,0
"('brianredmond', 'debraperlingiere')",0.0,0.0,3,0
"('brianredmond', 'jeffdasovich')",0.7578099350519243,0.11764705882352941,51,0
"('brianredmond', 'cheryljohnson')",0.0,0.0,3,0
"('brianredmond', 'ericbass')",0.0,0.0,12,0
"('brianredmond', 'jamesderrick')",0.0,0.0,9,0
"('brianredmond', 'tklohman')",0.0,0.0,15,0
"('brianredmond', 'tanajones')",0.0,0.0,39,0
"('brianredmond', 'marycook')",0.0,0.0,30,0
"('brianredmond', 'marcusnettelton')",0.0,0.0,9,0
"('brianredmond', 'arsystem')",0.0,0.0,6,0
"('brianredmond', 'torikuykendall')",0.0,0.0,3,0
"('brianredmond', 'lornabrennan')",0.0,0.0,3,0
"('brianredmond', 'ziminlu')",0.0,0.0,3,0
"('brianredmond', 'mikemaggi')",0.0,0.0,3,0
"('brianredmond', 'shelleycorman')",0.0,0.0,9,0
"('brianredmond', 'eldon')",0.0,0.0,6,0
"('brianredmond', 'vkamins')",0.0,0.0,3,0
"('brianredmond', 'martincuilla')",0.0,0.0,6,0
"('brianredmond', 'garyhickerson')",0.0,0.0,3,0
"('brianredmond', 'stephaniepanus')",0.0,0.0,18,0
"('brianredmond', 'robertbadeer')",0.0,0.0,3,0
"('brianredmond', 'lorrainelindberg')",0.0,0.0,12,0
"('brianredmond', 'susanbailey')",0.0,0.0,18,0
"('brianredmond', 'marieheard')",0.0,0.0,24,0
"('brianredmond', 'lisamellencamp')",0.0,0.0,3,0
"('brianredmond', 'stevenharris')",0.0,0.0,12,1
"('brianredmond', 'cameron')",0.0,0.0,6,0
"('brianredmond', 'chrisstokley')",0.0,0.0,3,0
"('brianredmond', 'stephaniesever')",0.0,0.0,3,0
"('brianredmond', 'andyzipper')",0.0,0.0,9,0
"('brianredmond', 'jayreitmeyer')",0.0,0.0,3,0
"('brianredmond', 'michellelokay')",0.0,0.0,12,0
"('brianredmond', 'laureladams')",0.0,0.0,9,0
"('brianredmond', 'sarashackleton')",0.0,0.0,30,0
"('brianredmond', 'lindydonoho')",0.0,0.0,15,0
"('brianredmond', 'info')",0.43429448190325176,0.3333333333333333,3,0
"('brianredmond', 'victorlamadrid')",0.0,0.0,3,0
"('brianredmond', 'psellers')",0.0,0.0,6,0
"('brianredmond', 'shonawilson')",0.0,0.0,6,0
"('brianredmond', 'alanaronowitz')",0.0,0.0,6,0
"('brianredmond', 'peterkeohane')",0.43429448190325176,0.16666666666666666,12,0
"('brianredmond', 'matthewlenhart')",0.0,0.0,9,0
"('brianredmond', 'markkoenig')",0.32351545314867247,0.2,9,0
"('brianredmond', 'richardshapiro')",0.32351545314867247,0.07692307692307693,33,0
"('brianredmond', 'vkaminski')",0.0,0.0,3,0
"('brianredmond', 'kamkeiser')",0.0,0.0,3,0
"('brianredmond', 'kevinhyatt')",0.0,0.0,9,0
"('brianredmond', 'davidport')",0.32351545314867247,0.14285714285714285,15,0
"('brianredmond', 'stuartzisman')",0.32351545314867247,0.25,6,0
"('brianredmond', 'johnarnold')",0.32351545314867247,0.09090909090909091,27,0
"('brianredmond', 'sallybeck')",0.32351545314867247,0.16666666666666666,12,0
"('brianredmond', 'davidforster')",1.379144869611536,0.75,12,0
"('brianredmond', 'chrisgermany')",0.0,0.0,3,0
"('brianredmond', 'johnambler')",0.0,0.0,3,0
"('brianredmond', 'rodhayslett')",0.0,0.0,6,0
"('brianredmond', 'sarahnovosel')",0.32351545314867247,0.125,18,0
"('brianredmond', 'kaymann')",0.0,0.0,6,0
"('brianredmond', 'douggilbert-smith')",0.0,0.0,3,0
"('brianredmond', 'jimschwieger')",0.32351545314867247,0.2,9,1
"('brianredmond', 'errolmclaughlin')",0.0,0.0,6,0
"('brianredmond', 'samanthaboyd')",0.0,0.0,18,0
"('brianredmond', 'gregwhalley')",0.32351545314867247,0.07692307692307693,33,0
"('brianredmond', 'frankermis')",0.0,0.0,6,0
"('brianredmond', 'russelldiamond')",0.0,0.0,3,0
"('brianredmond', 'travismccullough')",0.0,0.0,3,0
"('brianredmond', 'keithholst')",0.0,0.0,3,0
"('brianredmond', 'amyfitzpatrick')",0.0,0.0,6,0
"('brianredmond', 'rickbuy')",0.0,0.0,18,0
"('lauraluce', 'geraldnemec')",0.0,0.0,5,0
"('lauraluce', 'danadavis')",0.32351545314867247,0.2,5,0
"('lauraluce', 'elizabethsager')",0.0,0.0,45,0
"('lauraluce', 'dutchquigley')",0.0,0.0,30,0
"('lauraluce', 'audreyrobertson')",0.0,0.0,20,0
"('lauraluce', 'brenthendry')",0.0,0.0,5,0
"('lauraluce', 'edwardsacks')",0.0,0.0,15,0
"('lauraluce', 'paulkaufman')",0.0,0.0,20,0
"('lauraluce', 'inarangel')",0.43429448190325176,0.1,30,0
"('lauraluce', 'larrycampbell')",0.0,0.0,10,0
"('lauraluce', 'robertfrank')",0.0,0.0,5,0
