edge,adamic_adar,jaccard,preferential_attachment,label
"('amyfitzpatrick', 'ericbass')",0.0,0.0,12,1
"('amyfitzpatrick', 'davidoxley')",0.7276998587040522,0.18181818181818182,36,1
"('amyfitzpatrick', 'timbelden')",0.31066746727980593,0.1,28,1
"('amyfitzpatrick', 'mikegrigsby')",0.31066746727980593,0.1111111111111111,24,1
"('amyfitzpatrick', 'barrytycholiz')",0.0,0.0,24,1
"('amyfitzpatrick', 'robmilnthorp')",0.31066746727980593,0.2,8,1
"('amyfitzpatrick', 'brianredmond')",0.31066746727980593,0.1111111111111111,24,1
"('chrisgermany', 'scottneal')",0.0,0.0,4,1
"('cheryljohnson', 'kamkeiser')",0.0,0.0,3,1
"('scottneal', 'chrisgermany')",0.0,0.0,4,1
"('scottneal', 'mikegrigsby')",0.0,0.0,24,1
"('scottneal', 'barrytycholiz')",0.0,0.0,24,1
"('scottneal', 'victorlamadrid')",0.0,0.0,4,1
"('scottneal', 'davidforster')",0.0,0.0,20,1
"('scottneal', 'arsystem')",0.0,0.0,24,1
"('scottneal', 'inarangel')",0.0,0.0,24,1
"('scottneal', 'tanyarohauer')",0.0,0.0,24,1
"('scottneal', 'louisekitchen')",0.0,0.0,100,1
"('michellelokay', 'juliearmstrong')",1.531574161186449,0.2222222222222222,28,1
"('michellelokay', 'info')",0.7213475204444817,0.09090909090909091,35,1
"('tklohman', 'kevinhyatt')",1.2352458628142324,0.5,9,1
"('tklohman', 'lorrainelindberg')",1.2352458628142324,0.3333333333333333,15,1
"('tklohman', 'audreyrobertson')",1.2352458628142324,0.4,12,1
"('michellecash', 'janetdietrich')",0.45511961331341866,0.07692307692307693,33,1
"('matthewlenhart', 'jayreitmeyer')",0.0,0.0,2,1
"('gregwhalley', 'timbelden')",0.31066746727980593,0.1,28,1
"('gregwhalley', 'sallybeck')",0.31066746727980593,0.1111111111111111,24,1
"('gregwhalley', 'robmilnthorp')",0.31066746727980593,0.2,8,1
"('gregwhalley', 'johnlavorato')",2.208482121482188,0.4444444444444444,36,1
"('shonawilson', 'sallybeck')",0.0,0.0,6,1
"('shonawilson', 'errolmclaughlin')",0.0,0.0,3,1
"('shonawilson', 'kamkeiser')",0.0,0.0,3,1
"('shonawilson', 'lesliereeves')",0.0,0.0,4,1
"('juliearmstrong', 'michellelokay')",1.531574161186449,0.2222222222222222,28,1
"('juliearmstrong', 'stevenharris')",0.0,0.0,16,1
"('juliearmstrong', 'kevinhyatt')",0.0,0.0,12,1
"('juliearmstrong', 'lorrainelindberg')",0.0,0.0,20,1
"('juliearmstrong', 'audreyrobertson')",0.0,0.0,16,1
"('stephaniepanus', 'samanthaboyd')",0.0,0.0,12,1
"('stephaniepanus', 'kaymann')",2.085573818752302,0.21052631578947367,144,1
"('stevenharris', 'juliearmstrong')",0.0,0.0,16,1
"('stevenharris', 'kevinhyatt')",0.5138983423697507,0.16666666666666666,12,1
"('stevenharris', 'jeffdasovich')",0.5138983423697507,0.05263157894736842,68,1
"('stevenharris', 'lindydonoho')",1.3426824550040934,0.3333333333333333,16,1
"('richardcausey', 'sallybeck')",0.0,0.0,18,1
"('ericbass', 'amyfitzpatrick')",0.0,0.0,12,1
"('davidoxley', 'amyfitzpatrick')",0.7276998587040522,0.18181818181818182,36,1
"('davidoxley', 'timbelden')",0.7657870805932245,0.14285714285714285,63,1
"('davidoxley', 'sallybeck')",0.31066746727980593,0.07142857142857142,54,1
"('davidoxley', 'davidforster')",0.31066746727980593,0.07692307692307693,45,1
"('davidoxley', 'wescolwell')",0.31066746727980593,0.08333333333333333,36,1
"('davidoxley', 'davidport')",0.31066746727980593,0.08333333333333333,36,1
"('kevinhyatt', 'tklohman')",1.2352458628142324,0.5,9,1
"('kevinhyatt', 'juliearmstrong')",0.0,0.0,12,1
"('kevinhyatt', 'stevenharris')",0.5138983423697507,0.16666666666666666,12,1
"('kevinhyatt', 'lorrainelindberg')",2.677940903703196,0.6,15,1
"('kevinhyatt', 'audreyrobertson')",1.2352458628142324,0.4,12,1
"('timbelden', 'amyfitzpatrick')",0.31066746727980593,0.1,28,1
"('timbelden', 'gregwhalley')",0.31066746727980593,0.1,28,1
