edge,adamic_adar,jaccard,preferential_attachment,label
"('lornabrennan', 'kevinhyatt')",0.7213475204444817,0.16666666666666666,10,1
"('lornabrennan', 'lindydonoho')",0.5581106265512472,0.16666666666666666,10,1
"('scottneal', 'johngriffith')",0.0,0.0,2,1
"('michellelokay', 'juliearmstrong')",0.0,0.0,8,1
"('michellelokay', 'stevenharris')",0.6213349345596119,0.1111111111111111,24,1
"('michellelokay', 'audreyrobertson')",1.2426698691192237,0.4,12,1
"('michellelokay', 'arsystem')",0.0,0.0,20,1
"('tklohman', 'stevenharris')",0.0,0.0,6,1
"('tklohman', 'kevinhyatt')",0.7213475204444817,0.2,5,1
"('tklohman', 'lorrainelindberg')",0.7213475204444817,0.25,4,1
"('matthewlenhart', 'frankermis')",1.9822481955478353,0.6,15,1
"('gregwhalley', 'timbelden')",0.35295612386476116,0.1,28,1
"('gregwhalley', 'davidforster')",0.35295612386476116,0.14285714285714285,7,1
"('gregwhalley', 'ziminlu')",0.35295612386476116,0.125,14,1
"('shonawilson', 'johnlavorato')",1.7769769369073454,0.15789473684210525,85,1
"('juliearmstrong', 'michellelokay')",0.0,0.0,8,1
"('juliearmstrong', 'lorrainelindberg')",0.5138983423697507,0.2,8,1
"('psellers', 'cameron')",1.0906168935133367,0.6666666666666666,6,1
"('cameron', 'psellers')",1.0906168935133367,0.6666666666666666,6,1
"('gregjohnston', 'elizabethsager')",0.45511961331341866,0.08333333333333333,40,1
"('stevenharris', 'michellelokay')",0.6213349345596119,0.1111111111111111,24,1
"('stevenharris', 'tklohman')",0.0,0.0,6,1
"('ericbass', 'inarangel')",0.6213349345596119,0.125,14,1
"('kevinhyatt', 'lornabrennan')",0.7213475204444817,0.16666666666666666,10,1
"('kevinhyatt', 'tklohman')",0.7213475204444817,0.2,5,1
"('timbelden', 'gregwhalley')",0.35295612386476116,0.1,28,1
"('timbelden', 'sallybeck')",0.974291058424373,0.16666666666666666,40,1
"('timbelden', 'sarahnovosel')",0.36926937306885504,0.14285714285714285,16,1
"('timbelden', 'paulkaufman')",0.36926937306885504,0.14285714285714285,16,1
"('timbelden', 'christianyoder')",0.48089834696298783,0.2,8,1
"('mikegrigsby', 'barrytycholiz')",0.0,0.0,6,1
"('mikegrigsby', 'keithholst')",0.5138983423697507,0.16666666666666666,6,1
"('barrytycholiz', 'mikegrigsby')",0.0,0.0,6,1
"('travismccullough', 'sheilatweed')",0.5581106265512472,0.2,8,1
"('travismccullough', 'tanajones')",0.0,0.0,64,1
"('sallybeck', 'timbelden')",0.974291058424373,0.16666666666666666,40,1
"('sallybeck', 'chrisabel')",0.6213349345596119,0.09090909090909091,20,1
"('sallybeck', 'davidforster')",0.35295612386476116,0.1,10,1
"('sallybeck', 'wescolwell')",0.35295612386476116,0.1,10,1
"('sallybeck', 'davidport')",0.0,0.0,10,1
"('sallybeck', 'sheilaglover')",0.0,0.0,30,1
"('sallybeck', 'robmilnthorp')",0.35295612386476116,0.1,10,1
"('chrisabel', 'sallybeck')",0.6213349345596119,0.09090909090909091,20,1
"('chrisabel', 'johnlavorato')",0.0,0.0,34,1
"('errolmclaughlin', 'johnarnold')",0.0,0.0,40,1
"('errolmclaughlin', 'dutchquigley')",0.0,0.0,5,1
"('jimschwieger', 'johnlavorato')",0.9947966893327386,0.1111111111111111,51,1
"('rosaleefleming', 'richardshapiro')",0.0,0.0,5,1
"('shelleycorman', 'richardshapiro')",1.0906168935133367,0.2857142857142857,20,1
"('lorrainelindberg', 'tklohman')",0.7213475204444817,0.25,4,1
"('lorrainelindberg', 'juliearmstrong')",0.5138983423697507,0.2,8,1
"('rickbuy', 'shirleycrenshaw')",0.0,0.0,10,1
"('sarashackleton', 'marcusnettelton')",0.0,0.0,36,1
"('sarashackleton', 'russelldiamond')",0.36067376022224085,0.06666666666666667,48,1
"('sarahnovosel', 'timbelden')",0.36926937306885504,0.14285714285714285,16,1
"('paulkaufman', 'timbelden')",0.36926937306885504,0.14285714285714285,16,1
"('paulkaufman', 'richardshapiro')",1.8119644139578184,0.5,20,1
"('christianyoder', 'timbelden')",0.48089834696298783,0.2,8,1
"('marcusnettelton', 'sarashackleton')",0.0,0.0,36,1
"('audreyrobertson', 'michellelokay')",1.2426698691192237,0.4,12,1
"('jamesderrick', 'karendenne')",0.0,0.0,4,1
"('davidforster', 'gregwhalley')",0.35295612386476116,0.14285714285714285,7,1
"('davidforster', 'sallybeck')",0.35295612386476116,0.1,10,1
"('davidforster', 'tanajones')",0.0,0.0,16,1
"('davidforster', 'andyzipper')",0.35295612386476116,0.2,5,1
"('ziminlu', 'gregwhalley')",0.35295612386476116,0.125,14,1
"('martincuilla', 'johngriffith')",0.0,0.0,1,1
"('arsystem', 'michellelokay')",0.0,0.0,20,1
"('arsystem', 'elizabethsager')",0.45511961331341866,0.08333333333333333,40,1
"('wescolwell', 'sallybeck')",0.35295612386476116,0.1,10,1
"('wescolwell', 'robmilnthorp')",0.35295612386476116,1.0,1,1
"('keithholst', 'mikegrigsby')",0.5138983423697507,0.16666666666666666,6,1
"('keithholst', 'johngriffith')",0.0,0.0,1,1
"('mikemaggi', 'johngriffith')",0.0,0.0,1,1
"('mikemaggi', 'johnarnold')",0.5138983423697507,0.125,8,1
"('karendenne', 'jamesderrick')",0.0,0.0,4,1
"('inarangel', 'ericbass')",0.6213349345596119,0.125,14,1
"('inarangel', 'johngriffith')",0.0,0.0,7,1
"('inarangel', 'dutchquigley')",0.48089834696298783,0.14285714285714285,7,1
"('tanyarohauer', 'johngriffith')",0.0,0.0,4,1
"('shirleycrenshaw', 'rickbuy')",0.0,0.0,10,1
"('shirleycrenshaw', 'davidport')",0.0,0.0,2,1
"('louisekitchen', 'tanajones')",0.0,0.0,64,1
"('sheilatweed', 'travismccullough')",0.5581106265512472,0.2,8,1
"('sheilatweed', 'elizabethsager')",0.45511961331341866,0.1111111111111111,16,1
"('johngriffith', 'scottneal')",0.0,0.0,2,1
"('johngriffith', 'martincuilla')",0.0,0.0,1,1
"('johngriffith', 'keithholst')",0.0,0.0,1,1
"('johngriffith', 'mikemaggi')",0.0,0.0,1,1
"('johngriffith', 'inarangel')",0.0,0.0,7,1
"('johngriffith', 'tanyarohauer')",0.0,0.0,4,1
"('johngriffith', 'johnarnold')",0.0,0.0,8,1
"('johngriffith', 'stephaniesever')",0.0,0.0,4,1
"('geraldnemec', 'tanajones')",1.9640173895637054,0.17647058823529413,64,1
"('johnarnold', 'errolmclaughlin')",0.0,0.0,40,1
"('johnarnold', 'mikemaggi')",0.5138983423697507,0.125,8,1
"('johnarnold', 'johngriffith')",0.0,0.0,8,1
